cve_ent,entidad,cve_plantel,plantel,periodo_anual,Porcentaje_de_abandono_escolar
25,Sinaloa,121,El Rosario,2022-2023,5.4
25,Sinaloa,317,Escuinapa,2022-2023,11
25,Sinaloa,118,Guasave,2022-2023,9.3
25,Sinaloa,114,Ing. José Antonio Padilla Segura-Culiacán II,2022-2023,13.4
25,Sinaloa,95,Juan de Dios Bátiz,2022-2023,8.9
25,Sinaloa,117,Juan José Ríos,2022-2023,3.6
25,Sinaloa,120,La Reforma,2022-2023,10.5
25,Sinaloa,45,Los Mochis,2022-2023,9.7
25,Sinaloa,315,Los Mochis II,2022-2023,15.8
25,Sinaloa,46,Mazatlán I,2022-2023,12.1
25,Sinaloa,62,Mazatlán II,2022-2023,9.5
25,Sinaloa,119,Mocorito,2022-2023,7
25,Sinaloa,115,Navolato,2022-2023,14.3
26,Sonora,253,Agua Prieta,2022-2023,14.1
26,Sonora,141,Alvaro Obregón Salido - Huatabampo,2022-2023,20.1
26,Sonora,148,Caborca,2022-2023,18.3
26,Sonora,96,Ciudad Obregón,2022-2023,13.9
26,Sonora,97,Empalme,2022-2023,11.1
26,Sonora,50,Gral. Plutarco Elías Calles - Guaymas,2022-2023,13.9
26,Sonora,47,Hermosillo I,2022-2023,17.4
26,Sonora,48,Hermosillo II,2022-2023,25.2
26,Sonora,179,Hermosillo III,2022-2023,15.7
26,Sonora,264,Magdalena de Kino,2022-2023,20.6
26,Sonora,49,Nacozari,2022-2023,16.7
26,Sonora,140,Navojoa,2022-2023,8.4
26,Sonora,142,Nogales,2022-2023,15.8
26,Sonora,202,San Luis Río Colorado,2022-2023,11.8
27,Tabasco,52,Cárdenas,2022-2023,15.2
27,Tabasco,291,Comalcalco,2022-2023,5.5
27,Tabasco,99,Lic. Manrique Dagdug Urgell,2022-2023,8.3
27,Tabasco,53,Macuspana,2022-2023,3.2
27,Tabasco,100,Paraíso,2022-2023,11.4
27,Tabasco,51,Villahermosa I,2022-2023,10.4
27,Tabasco,98,Villahermosa II,2022-2023,11.6
28,Tamaulipas,127,Ciudad Mante,2022-2023,18.6
28,Tamaulipas,172,Ciudad Victoria,2022-2023,20.2
28,Tamaulipas,55,Matamoros,2022-2023,15.6
28,Tamaulipas,259,Miguel Alemán,2022-2023,7.6
28,Tamaulipas,246,Nuevo Laredo,2022-2023,8.6
28,Tamaulipas,129,Reynosa,2022-2023,9.7
28,Tamaulipas,200,Río Bravo,2022-2023,6.5
28,Tamaulipas,54,Tampico,2022-2023,15.7
29,Tlaxcala,56,Amaxac de Guerrero,2022-2023,13.4
29,Tlaxcala,251,Teacalco,2022-2023,15.9
29,Tlaxcala,101,Zacualpan,2022-2023,8.7
30,Veracruz Llave,337,Alamo,2022-2023,19.7
30,Veracruz Llave,338,Cordoba,2022-2023,13.7
30,Veracruz Llave,58,Don Juan Osorio López,2022-2023,11.3
30,Veracruz Llave,122,Dr. Gonzalo Aguirre Beltrán,2022-2023,8.2
30,Veracruz Llave,201,Dr. Guillermo Figueroa Cárdenas,2022-2023,7.9
30,Veracruz Llave,104,Juan Díaz Covarrubias,2022-2023,9.7
30,Veracruz Llave,165,Lic. Jesús Reyes Heroles,2022-2023,13.7
30,Veracruz Llave,244,Manuel Maples Arce,2022-2023,5.5
30,Veracruz Llave,162,Manuel Rivera Cambas,2022-2023,7.7
30,Veracruz Llave,252,Orizaba,2022-2023,5.2
30,Veracruz Llave,103,Potrero,2022-2023,9.8
30,Veracruz Llave,177,Poza Rica,2022-2023,5.9
30,Veracruz Llave,320,Vega de Alatorre,2022-2023,17.5
30,Veracruz Llave,57,Veracruz I,2022-2023,9.5
30,Veracruz Llave,144,Veracruz II,2022-2023,5.3
31,Yucatán,59,Mérida I,2022-2023,16.1
31,Yucatán,60,Mérida II,2022-2023,19.7
31,Yucatán,324,Mérida III,2022-2023,20.3
31,Yucatán,164,Tizimin,2022-2023,7.9
31,Yucatán,105,Valladolid,2022-2023,10.7
32,Zacatecas,137,Fresnillo,2022-2023,23.2
32,Zacatecas,136,Maestra Dolores Castro Varela,2022-2023,14.3
32,Zacatecas,326,Mazapil,2022-2023,21
,,,,,
,CONALEP,,CONALEP,,15
